c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistCHT.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistLOC.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\EEF90.DLL	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:EEF90.DLL	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:updateautotest.dll	||ProcessPath:C:\Program Files\Kingsoft\WPS Office Personal\office6\wpsupdate.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:updateautotest.dll	||ProcessPath:C:\Program Files\Kingsoft\WPS Office Personal\office6\wpsupdate.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:updateautotest.dll	||ProcessPath:C:\Program Files\Kingsoft\WPS Office Personal\office6\wpsupdate.exe
c0000135	||DllName:updateautotest.dll	||ProcessPath:C:\Program Files\Kingsoft\WPS Office Personal\office6\wpsupdate.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
c0000135	||DllName:updateautotest.dll	||ProcessPath:C:\Program Files\Kingsoft\WPS Office Personal\office6\wpsupdate.exe
c0000135	||DllName:C:\Program Files\Microsoft Visual Studio\Common\VSS\win32\ssxx.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistCHS.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistCHT.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistCHS.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistCHT.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Visual Assist X\VAssistLOC.dll	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\EEF90.DLL	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:EEF90.DLL	||ProcessPath:C:\Program Files\Microsoft Visual Studio\Common\MSDev98\Bin\MSDEV.EXE
c0000135	||DllName:C:\Program Files\WinRAR\rarlng.dll	||ProcessPath:C:\Program Files\WinRAR\WinRAR.exe
